,Ward name,Borough name,City,Address,location,point
146,Cleveland,Ealing,London,"Cleveland,Ealing,London","Cleveland Park, West Ealing, Perivale, London Borough of Ealing, London, Greater London, England, United Kingdom","(51.52300205, -0.32242356433147457, 0.0)"
147,Dormers Wells,Ealing,London,"Dormers Wells,Ealing,London","Dormers Wells High School, Lovell Road, Greenford, London Borough of Ealing, London, Greater London, England, UB1 3LE, United Kingdom","(51.5184396, -0.3665521312181104, 0.0)"
148,Ealing Broadway,Ealing,London,"Ealing Broadway,Ealing,London","Ealing Broadway, The Broadway, Perivale, London Borough of Ealing, London, Greater London, England, W5 2NU, United Kingdom","(51.5149803, -0.3004067, 0.0)"
149,Ealing Common,Ealing,London,"Ealing Common,Ealing,London","Ealing Common, Granville Gardens, Acton, London Borough of Ealing, London, Greater London, England, W5 3PA, United Kingdom","(51.5097107, -0.2881658, 0.0)"
150,East Acton,Ealing,London,"East Acton,Ealing,London","The Green, East Acton, Acton, London Borough of Ealing, London, Greater London, England, United Kingdom","(51.517756750000004, -0.25213644732704343, 0.0)"
151,Elthorne,Ealing,London,"Elthorne,Ealing,London","Elthorne Park High School, Westlea Road, West Ealing, Hanwell, London Borough of Ealing, London, Greater London, England, W7 2AH, United Kingdom","(51.5005221, -0.3311126743879512, 0.0)"
152,Greenford Broadway,Ealing,London,"Greenford Broadway,Ealing,London","Greenford Broadway, The Broadway, Greenford, London Borough of Ealing, London, Greater London, England, UB6 9PF, United Kingdom","(51.5280218, -0.3540754, 0.0)"
153,Greenford Green,Ealing,London,"Greenford Green,Ealing,London","Greenford, West Green Place, Wood End, Greenford, London Borough of Ealing, London, Greater London, England, UB6 8YQ, United Kingdom","(51.5422492, -0.3453513, 0.0)"
154,Hanger Hill,Ealing,London,"Hanger Hill,Ealing,London","Hanger Lane, Western Avenue, London Borough of Ealing, London, Greater London, England, W5 1DL, United Kingdom","(51.5303098, -0.2936453, 0.0)"
155,Hobbayne,Ealing,London,"Hobbayne,Ealing,London","Hobbayne Road, Greenford, London Borough of Ealing, London, Greater London, England, W7 3RL, United Kingdom","(51.5195173, -0.3461953, 0.0)"
156,Lady Margaret,Ealing,London,"Lady Margaret,Ealing,London","Lady Margaret Road, Greenford, London Borough of Ealing, London, Greater London, England, UB1 2RW, United Kingdom","(51.5177515, -0.3753809, 0.0)"
157,Northfield,Ealing,London,"Northfield,Ealing,London","Northfield Avenue Allotments, Hanwell, London Borough of Ealing, London, Greater London, England, United Kingdom","(51.5082193, -0.3187368096190971, 0.0)"
158,North Greenford,Ealing,London,"North Greenford,Ealing,London","North Greenford, Greenford, London Borough of Ealing, London, Greater London, England, UB6 0HY, United Kingdom","(51.5551182, -0.3367211, 0.0)"
159,Northolt Mandeville,Ealing,London,"Northolt Mandeville,Ealing,London","Northolt, Mandeville Road, Wood End, Greenford, London Borough of Ealing, London, Greater London, England, UB5 4AA, United Kingdom","(51.5484582, -0.3695247, 0.0)"
160,Northolt West End,Ealing,London,"Northolt West End,Ealing,London","Northolt, London, Greater London, England, UB5 5HT, United Kingdom","(51.5465937, -0.369565, 0.0)"
161,Norwood Green,Ealing,London,"Norwood Green,Ealing,London","Norwood Green, London Borough of Ealing, London, Greater London, England, UB2 4HY, United Kingdom","(51.4966058, -0.3693772, 0.0)"
162,Perivale,Ealing,London,"Perivale,Ealing,London","Perivale, Chilham Close, Perivale, London Borough of Ealing, London, Greater London, England, UB6 8AE, United Kingdom","(51.5364952, -0.3225887, 0.0)"
163,South Acton,Ealing,London,"South Acton,Ealing,London","South Acton, Kingswood Terrace, Acton, London Borough of Ealing, London, Greater London, England, W4, United Kingdom","(51.4997225, -0.2698979, 0.0)"
164,Southall Broadway,Ealing,London,"Southall Broadway,Ealing,London","Southall Broadway, South Road, Norwood Green, Greenford, London Borough of Ealing, London, Greater London, England, UB1 1RR, United Kingdom","(51.5099194, -0.3762117, 0.0)"
165,Southall Green,Ealing,London,"Southall Green,Ealing,London","Southall, South Road, Norwood Green, London Borough of Ealing, London, Greater London, England, UB2 4AA, United Kingdom","(51.5060205, -0.3775015, 0.0)"
166,Southfield,Ealing,London,"Southfield,Ealing,London","Southfield Road, Acton, London Borough of Ealing, London, Greater London, England, W4 5LA, United Kingdom","(51.5025131, -0.2638832, 0.0)"
167,Walpole,Ealing,London,"Walpole,Ealing,London","The Walpole, 35, St Mary's Road, West Ealing, Acton, London Borough of Ealing, London, Greater London, England, W5, United Kingdom","(51.5060204, -0.3049015, 0.0)"
168,Bowes,Enfield,London,"Bowes,Enfield,London","Bowes, London Borough of Enfield, London, Greater London, England, N13 6DQ, United Kingdom","(51.6123266, -0.1000295, 0.0)"
169,Bush Hill Park,Enfield,London,"Bush Hill Park,Enfield,London","Bush Hill Park, Queen Anne's Place, Southbury, London Borough of Enfield, London, Greater London, England, EN1 2QB, United Kingdom","(51.6417042, -0.0694005, 0.0)"
170,Chase,Enfield,London,"Chase,Enfield,London","London, 268, High Road, Hornsey Park, London Borough of Haringey, London, Greater London, England, N22 8JR, United Kingdom","(51.6014893, -0.1116958, 0.0)"
171,Cockfosters,Enfield,London,"Cockfosters,Enfield,London","Cockfosters, Cockfosters Road, Cockfosters, London Borough of Enfield, London, Greater London, England, EN4 9EB, United Kingdom","(51.651366, -0.1485149, 0.0)"
172,Edmonton Green,Enfield,London,"Edmonton Green,Enfield,London","Edmonton Green, Church Street, Edmonton, London Borough of Enfield, London, Greater London, England, N9 9DR, United Kingdom","(51.6248371, -0.061208, 0.0)"
173,Enfield Highway,Enfield,London,"Enfield Highway,Enfield,London","Enfield Highway, London Borough of Enfield, London, Greater London, England, EN3 7HG, United Kingdom","(51.6570215, -0.0470996, 0.0)"
174,Enfield Lock,Enfield,London,"Enfield Lock,Enfield,London","Enfield Lock, Ordnance Road, Enfield Island Village, London Borough of Enfield, London, Greater London, England, EN3 6AA, United Kingdom","(51.6708872, -0.0285727, 0.0)"
175,Grange,Enfield,London,"Grange,Enfield,London","The Grange, 23, The Grangeway, Winchmore Hill, London Borough of Enfield, London, Greater London, England, N21 2HD, United Kingdom","(51.6419939, -0.096344, 0.0)"
176,Haselbury,Enfield,London,"Haselbury,Enfield,London","Haselbury Road, Edmonton, London Borough of Enfield, London, Greater London, England, N9 9TP, United Kingdom","(51.6242472, -0.0741612, 0.0)"
177,Highlands,Enfield,London,"Highlands,Enfield,London","Highlands School, World's End Lane, Winchmore Hill, London Borough of Enfield, London, Greater London, England, EN2 7RE, United Kingdom","(51.649935, -0.1064298, 0.0)"
178,Jubilee,Enfield,London,"Jubilee,Enfield,London","Jubilee Park, Edmonton, London Borough of Enfield, London, Greater London, England, N9 7EJ, United Kingdom","(51.634667300000004, -0.059330950743040456, 0.0)"
179,Lower Edmonton,Enfield,London,"Lower Edmonton,Enfield,London","Lower Hall Lane, Edmonton, London Borough of Enfield, London, Greater London, England, N18 3HQ, United Kingdom","(51.6133019, -0.0358428, 0.0)"
180,Palmers Green,Enfield,London,"Palmers Green,Enfield,London","Palmers Green, Alderman's Hill, Palmers Green, London Borough of Enfield, London, Greater London, England, N13 4PN, United Kingdom","(51.6183704, -0.110499, 0.0)"
181,Ponders End,Enfield,London,"Ponders End,Enfield,London","Ponders End, South Street, Ponders End, London Borough of Enfield, London, Greater London, England, EN3 4QB, United Kingdom","(51.6428463, -0.0347837, 0.0)"
182,Southbury,Enfield,London,"Southbury,Enfield,London","Southbury, Poppy Drive, Southbury, London Borough of Enfield, London, Greater London, England, EN3 4FB, United Kingdom","(51.6480314, -0.0526302, 0.0)"
183,Southgate,Enfield,London,"Southgate,Enfield,London","Southgate, London Borough of Enfield, London, Greater London, England, N14 6NJ, United Kingdom","(51.6281547, -0.123596, 0.0)"
184,Southgate Green,Enfield,London,"Southgate Green,Enfield,London","Southgate, London Borough of Enfield, London, Greater London, England, N14 6NJ, United Kingdom","(51.6281547, -0.123596, 0.0)"
185,Town,Enfield,London,"Town,Enfield,London","The Town, Southbury, London Borough of Enfield, London, Greater London, England, EN2 6LT, United Kingdom","(51.6521726, -0.081518, 0.0)"
186,Turkey Street,Enfield,London,"Turkey Street,Enfield,London","Turkey Street, Teal Close, Enfield Highway, London Borough of Enfield, London, Greater London, England, EN3 5TL, United Kingdom","(51.6727331, -0.047176, 0.0)"
187,Upper Edmonton,Enfield,London,"Upper Edmonton,Enfield,London","Edmonton, London Borough of Enfield, London, Greater London, England, N9 9ST, United Kingdom","(51.6203392, -0.0659791, 0.0)"
188,Winchmore Hill,Enfield,London,"Winchmore Hill,Enfield,London","Winchmore Hill, London Borough of Enfield, London, Greater London, England, N21 1HS, United Kingdom","(51.6333948, -0.1033617, 0.0)"
189,Abbey Wood,Greenwich,London,"Abbey Wood,Greenwich,London","Abbey Wood, Royal Borough of Greenwich, London, Greater London, England, SE2 0BS, United Kingdom","(51.487621, 0.1140504, 0.0)"
190,Blackheath Westcombe,Greenwich,London,"Blackheath Westcombe,Greenwich,London","Blackheath / Royal Standard, Westcombe Hill, East Greenwich, Royal Borough of Greenwich, London, Greater London, England, SE3 7DH, United Kingdom","(51.4775675, 0.0190989, 0.0)"
191,Charlton,Greenwich,London,"Charlton,Greenwich,London","Charlton, Royal Borough of Greenwich, London, Greater London, England, SE7 8UH, United Kingdom","(51.4826053, 0.0365359, 0.0)"
192,Coldharbour and New Eltham,Greenwich,London,"Coldharbour and New Eltham,Greenwich,London","Coldharbour, Royal Borough of Greenwich, London, Greater London, England, SE9 3AY, United Kingdom","(51.4304703, 0.0576814, 0.0)"
193,Eltham North,Greenwich,London,"Eltham North,Greenwich,London","Eltham, London, Greater London, England, SE9 5DQ, United Kingdom","(51.4505687, 0.0541253, 0.0)"
194,Eltham South,Greenwich,London,"Eltham South,Greenwich,London","Eltham, Rochester Way Relief Road, South End, Well Hall, Royal Borough of Greenwich, London, Greater London, England, SE9 1DU, United Kingdom","(51.4555936, 0.0522692, 0.0)"
195,Eltham West,Greenwich,London,"Eltham West,Greenwich,London","Eltham, London, Greater London, England, SE9 5DQ, United Kingdom","(51.4505687, 0.0541253, 0.0)"
196,Glyndon,Greenwich,London,"Glyndon,Greenwich,London","Glyndon Road, Plumstead, Royal Borough of Greenwich, London, Greater London, England, SE18 7NT, United Kingdom","(51.4873935, 0.0846794, 0.0)"
197,Greenwich West,Greenwich,London,"Greenwich West,Greenwich,London","Greenwich, London, Greater London, England, SE10 9HF, United Kingdom","(51.4820845, -0.0045417, 0.0)"
198,Kidbrooke with Hornfair,Greenwich,London,"Kidbrooke with Hornfair,Greenwich,London",,
199,Middle Park and Sutcliffe,Greenwich,London,"Middle Park and Sutcliffe,Greenwich,London",,
200,Peninsula,Greenwich,London,"Peninsula,Greenwich,London","ExCeL, 1, Western Gateway, Canning Town, London Borough of Newham, London, Greater London, England, E16 1XL, United Kingdom","(51.50814615, 0.0287318446244653, 0.0)"
201,Plumstead,Greenwich,London,"Plumstead,Greenwich,London","Plumstead, Royal Borough of Greenwich, London, Greater London, England, SE18 2HH, United Kingdom","(51.4804635, 0.0924286, 0.0)"
202,Shooters Hill,Greenwich,London,"Shooters Hill,Greenwich,London","Shooters Hill, Royal Borough of Greenwich, London, Greater London, England, SE18 3JB, United Kingdom","(51.4692255, 0.066306, 0.0)"
203,Thamesmead Moorings,Greenwich,London,"Thamesmead Moorings,Greenwich,London","Thamesmead, London, Greater London, England, SE2 9BD, United Kingdom","(51.4989335, 0.1148486, 0.0)"
204,Woolwich Common,Greenwich,London,"Woolwich Common,Greenwich,London","Woolwich Common, Shooters Hill, Royal Borough of Greenwich, London, Greater London, England, United Kingdom","(51.47671115, 0.05395906713699389, 0.0)"
205,Woolwich Riverside,Greenwich,London,"Woolwich Riverside,Greenwich,London","Woolwich, London, Greater London, England, SE18 6FX, United Kingdom","(51.4826696, 0.0623335, 0.0)"
206,Brownswood,Hackney,London,"Brownswood,Hackney,London","The Brownswood, 271, Green Lanes, Brownswood Park, Stoke Newington, London Borough of Hackney, London, Greater London, England, N4 2EX, United Kingdom","(51.56397355, -0.0927343274505367, 0.0)"
207,Cazenove,Hackney,London,"Cazenove,Hackney,London","Cazenove Road, South Hornsey, Upper Clapton, London Borough of Hackney, London, Greater London, England, N16 6AB, United Kingdom","(51.5656277, -0.0666574, 0.0)"
208,Clissold,Hackney,London,"Clissold,Hackney,London","Clissold Park, Brownswood Park, Stoke Newington, London Borough of Hackney, London, Greater London, England, United Kingdom","(51.561253699999995, -0.08839933496395203, 0.0)"
209,Dalston,Hackney,London,"Dalston,Hackney,London","Dalston, London, Greater London, England, E8 3BS, United Kingdom","(51.5434023, -0.0672286, 0.0)"
210,De Beauvoir,Hackney,London,"De Beauvoir,Hackney,London","London Bike Kitchen, 28, Whitmore Road, De Beauvoir Town, London Borough of Hackney, London, Greater London, England, N1 5QA, United Kingdom","(51.536286, -0.081709, 0.0)"
211,Hackney Central,Hackney,London,"Hackney Central,Hackney,London","Hackney Central, Amhurst Road, Lower Clapton, London Borough of Hackney, London, Greater London, England, E8 1LL, United Kingdom","(51.5470605, -0.0568749, 0.0)"
212,Hackney Downs,Hackney,London,"Hackney Downs,Hackney,London","Hackney Downs, Dalston Lane, South Hornsey, Shacklewell, London Borough of Hackney, London, Greater London, England, E8 1LA, United Kingdom","(51.5486455, -0.060686, 0.0)"
213,Hackney Wick,Hackney,London,"Hackney Wick,Hackney,London","Hackney Wick, White Post Lane, Fish Island, London Borough of Tower Hamlets, London, Greater London, England, E9 5NW, United Kingdom","(51.543433, -0.0240839, 0.0)"
214,Haggerston,Hackney,London,"Haggerston,Hackney,London","Haggerston, Lee Street, South Hornsey, Haggerston, London Borough of Hackney, London, Greater London, England, E8 4DY, United Kingdom","(51.5385184, -0.0753811, 0.0)"
215,Homerton,Hackney,London,"Homerton,Hackney,London","Homerton, Sedgwick Street, Homerton, London Borough of Hackney, London, Greater London, England, E9 6AA, United Kingdom","(51.5470789, -0.043121, 0.0)"
216,Hoxton East & Shoreditch,Hackney,London,"Hoxton East & Shoreditch,Hackney,London","Hoxton, Geffrye Street, Haggerston, London Borough of Hackney, London, Greater London, England, E2 8HZ, United Kingdom","(51.5312914, -0.0758535, 0.0)"
217,Hoxton West,Hackney,London,"Hoxton West,Hackney,London","Hoxton, Geffrye Street, Haggerston, London Borough of Hackney, London, Greater London, England, E2 8HZ, United Kingdom","(51.5312914, -0.0758535, 0.0)"
218,King's Park,Hackney,London,"King's Park,Hackney,London","Kingsgate Estate, Kingsland, London Borough of Hackney, London, Greater London, England, United Kingdom","(51.54497, -0.07846493802022442, 0.0)"
219,Lea Bridge,Hackney,London,"Lea Bridge,Hackney,London","Lea Bridge, Clapton Park, London Borough of Hackney, London, Greater London, England, E5 9QB, United Kingdom","(51.562141499999996, -0.045734448334317473, 0.0)"
220,London Fields,Hackney,London,"London Fields,Hackney,London","London Fields, Martello Terrace, Dalston, London Borough of Hackney, London, Greater London, England, E8 3PH, United Kingdom","(51.5410518, -0.0577737, 0.0)"
221,Shacklewell,Hackney,London,"Shacklewell,Hackney,London","Shacklewell, London Borough of Hackney, London, Greater London, England, E8 2EY, United Kingdom","(51.5523761, -0.0701582, 0.0)"
222,Springfield,Hackney,London,"Springfield,Hackney,London","Springfield, Upper Clapton, London Borough of Hackney, London, Greater London, England, E5 9DX, United Kingdom","(51.5683986, -0.0565668, 0.0)"
223,Stamford Hill West,Hackney,London,"Stamford Hill West,Hackney,London","Stamford Hill, Amhurst Park, Stamford Hill, London Borough of Hackney, London, Greater London, England, N16 5AG, United Kingdom","(51.5744324, -0.0766481, 0.0)"
224,Stoke Newington,Hackney,London,"Stoke Newington,Hackney,London","Stoke Newington, London, Greater London, England, N16 8EJ, United Kingdom","(51.5576971, -0.0772816, 0.0)"
225,Victoria,Hackney,London,"Victoria,Hackney,London","The Victoria, 451, Queensbridge Road, South Hornsey, Dalston, London Borough of Hackney, London, Greater London, England, E8 3AR, United Kingdom","(51.545713649999996, -0.07010039896937992, 0.0)"
226,Woodberry Down,Hackney,London,"Woodberry Down,Hackney,London","Woodberry Down, Stoke Newington, London Borough of Hackney, London, Greater London, England, N4 2RD, United Kingdom","(51.5724915, -0.090699, 0.0)"
227,Addison,Hammersmith and Fulham,London,"Addison,Hammersmith and Fulham,London","Addison Gardens, Brook Green, London Borough of Hammersmith and Fulham, London, Greater London, England, W14 8BH, United Kingdom","(51.5020119, -0.2153718, 0.0)"
228,Askew,Hammersmith and Fulham,London,"Askew,Hammersmith and Fulham,London","Askew Crescent, Brook Green, London Borough of Hammersmith and Fulham, London, Greater London, England, W12 9DL, United Kingdom","(51.5060644, -0.2431987, 0.0)"
229,Avonmore and Brook Green,Hammersmith and Fulham,London,"Avonmore and Brook Green,Hammersmith and Fulham,London",,
230,College Park and Old Oak,Hammersmith and Fulham,London,"College Park and Old Oak,Hammersmith and Fulham,London",,
231,Fulham Broadway,Hammersmith and Fulham,London,"Fulham Broadway,Hammersmith and Fulham,London","Fulham Broadway, 470, Fulham Road, Wandon Estate, Walham Green, London Borough of Hammersmith and Fulham, London, Greater London, England, SW6 1ES, United Kingdom","(51.4808834, -0.1943493, 0.0)"
232,Fulham Reach,Hammersmith and Fulham,London,"Fulham Reach,Hammersmith and Fulham,London","Fulham Reach, Brook Green, London Borough of Hammersmith and Fulham, London, Greater London, England, United Kingdom","(51.4871579, -0.22617045487998716, 0.0)"
233,Hammersmith Broadway,Hammersmith and Fulham,London,"Hammersmith Broadway,Hammersmith and Fulham,London","Hammersmith Broadway, Brook Green, London Borough of Hammersmith and Fulham, London, Greater London, England, W6 0DZ, United Kingdom","(51.49215415, -0.22416220469888298, 0.0)"
234,Munster,Hammersmith and Fulham,London,"Munster,Hammersmith and Fulham,London","Munster Road, West Kensington, London Borough of Hammersmith and Fulham, London, Greater London, England, SW6 6AY, United Kingdom","(51.4789728, -0.2113845, 0.0)"
235,North End,Hammersmith and Fulham,London,"North End,Hammersmith and Fulham,London","DoubleTree by Hilton Hotel London - Chelsea, Imperial Road, Wandon Estate, Sands End, London Borough of Hammersmith and Fulham, London, Greater London, England, SW6 2GA, United Kingdom","(51.4741227, -0.1840077, 0.0)"
236,Palace Riverside,Hammersmith and Fulham,London,"Palace Riverside,Hammersmith and Fulham,London","Fulham Palace Road, Brook Green, London Borough of Hammersmith and Fulham, London, Greater London, England, W6 9PH, United Kingdom","(51.490929, -0.2235307, 0.0)"
237,Parsons Green and Walham,Hammersmith and Fulham,London,"Parsons Green and Walham,Hammersmith and Fulham,London","Prestige of London, Wandsworth Bridge Road, Wandon Estate, Sands End, London Borough of Hammersmith and Fulham, London, Greater London, England, SW6 2TE, United Kingdom","(51.4735501, -0.1920695, 0.0)"
238,Ravenscourt Park,Hammersmith and Fulham,London,"Ravenscourt Park,Hammersmith and Fulham,London","Ravenscourt Park, Ravenscourt Place, Brook Green, London Borough of Hammersmith and Fulham, London, Greater London, England, W6 0UN, United Kingdom","(51.4941293, -0.2357932, 0.0)"
239,Sands End,Hammersmith and Fulham,London,"Sands End,Hammersmith and Fulham,London","Sands End, London Borough of Hammersmith and Fulham, London, Greater London, England, SW6 2PR, United Kingdom","(51.4725454, -0.1871122, 0.0)"
240,Shepherd's Bush Green,Hammersmith and Fulham,London,"Shepherd's Bush Green,Hammersmith and Fulham,London","Shepherds Bush Green, Brook Green, London Borough of Hammersmith and Fulham, London, Greater London, England, United Kingdom","(51.50423455, -0.22179901163685573, 0.0)"
241,Town,Hammersmith and Fulham,London,"Town,Hammersmith and Fulham,London","Hammersmith, London, Greater London, England, W6 9YA, United Kingdom","(51.4920377, -0.2236401, 0.0)"
242,Wormholt and White City,Hammersmith and Fulham,London,"Wormholt and White City,Hammersmith and Fulham,London","Wormholt Road, Brook Green, London Borough of Hammersmith and Fulham, London, Greater London, England, W12 0LS, United Kingdom","(51.5078121, -0.2406007, 0.0)"
243,Alexandra,Haringey,London,"Alexandra,Haringey,London","Alexandra Palace, Alexandra Palace Way, Crouch Hall Park, Hornsey, London Borough of Haringey, London, Greater London, England, N22 7AY, United Kingdom","(51.5942224, -0.13085714680658356, 0.0)"
244,Bounds Green,Haringey,London,"Bounds Green,Haringey,London","Bounds Green, Bounds Green Road, Haringey Heartlands, London Borough of Haringey, London, Greater London, England, N11 2EX, United Kingdom","(51.607376, -0.1249047, 0.0)"
245,Bruce Grove,Haringey,London,"Bruce Grove,Haringey,London","Bruce Grove, Moorefield Road, Tottenham Hale, Tottenham, London Borough of Haringey, London, Greater London, England, N17 6PY, United Kingdom","(51.593712, -0.0700556, 0.0)"
246,Crouch End,Haringey,London,"Crouch End,Haringey,London","Crouch End, London, Greater London, England, N8 9SW, United Kingdom","(51.5787402, -0.1235992, 0.0)"
247,Fortis Green,Haringey,London,"Fortis Green,Haringey,London","Fortis Green, Muswell Hill, London Borough of Haringey, London, Greater London, England, N2 9HL, United Kingdom","(51.590997, -0.1534208, 0.0)"
248,Harringay,Haringey,London,"Harringay,Haringey,London","Harringay, Quernmore Road, Stroud Green, London Borough of Haringey, London, Greater London, England, N4 4QP, United Kingdom","(51.5773885, -0.1053581, 0.0)"
249,Highgate,Haringey,London,"Highgate,Haringey,London","Highgate, Priory Gardens, Shepherd's Hill, Highgate, London Borough of Haringey, London, Greater London, England, N6 5QT, United Kingdom","(51.5776825, -0.1458316, 0.0)"
250,Hornsey,Haringey,London,"Hornsey,Haringey,London","Hornsey, Tottenham Lane, Haringey Heartlands, Hornsey, London Borough of Haringey, London, Greater London, England, N8 9BD, United Kingdom","(51.5863215, -0.1116832, 0.0)"
251,Muswell Hill,Haringey,London,"Muswell Hill,Haringey,London","Muswell Hill, London, Greater London, England, N10 3SH, United Kingdom","(51.5910395, -0.1420768, 0.0)"
252,Noel Park,Haringey,London,"Noel Park,Haringey,London","Noel Park, Harringay, Wood Green, London, Greater London, England, N22 6NU, United Kingdom","(51.5970269, -0.1009153, 0.0)"
253,Northumberland Park,Haringey,London,"Northumberland Park,Haringey,London","Northumberland Park, Park Avenue Road, Tottenham Hale, Tottenham, London Borough of Haringey, London, Greater London, England, N17 0YH, United Kingdom","(51.6019419, -0.0539446, 0.0)"
254,St. Ann's,Haringey,London,"St. Ann's,Haringey,London","St Ann's, Avenue Road, Harringay Warehouse District, West Green, London Borough of Haringey, London, Greater London, England, N15 5JQ, United Kingdom","(51.58126395, -0.08444370000000001, 0.0)"
255,Seven Sisters,Haringey,London,"Seven Sisters,Haringey,London","Seven Sisters, Westerfield Road, Seven Sisters, Tottenham, London Borough of Haringey, London, Greater London, England, N15 5LD, United Kingdom","(51.5824738, -0.0749325, 0.0)"
256,Stroud Green,Haringey,London,"Stroud Green,Haringey,London","Stroud Green, London Borough of Haringey, London, Greater London, England, N4 3RX, United Kingdom","(51.5716864, -0.1114972, 0.0)"
257,Tottenham Green,Haringey,London,"Tottenham Green,Haringey,London","Tottenham Green, Seven Sisters, Tottenham, London Borough of Haringey, London, Greater London, England, United Kingdom","(51.58775405, -0.07147608181567411, 0.0)"
258,Tottenham Hale,Haringey,London,"Tottenham Hale,Haringey,London","Tottenham Hale, Ferry Lane, Tottenham Hale, Tottenham, London Borough of Haringey, London, Greater London, England, N17 9NA, United Kingdom","(51.5881223, -0.0599366, 0.0)"
259,West Green,Haringey,London,"West Green,Haringey,London","West Green, London, Greater London, England, N15 3BL, United Kingdom","(51.5868063, -0.0898489, 0.0)"
260,White Hart Lane,Haringey,London,"White Hart Lane,Haringey,London","White Hart Lane, Love Lane, Tottenham Hale, Tottenham, London Borough of Haringey, London, Greater London, England, N17 8DP, United Kingdom","(51.6045762, -0.0707857, 0.0)"
261,Woodside,Haringey,London,"Woodside,Haringey,London","Woodside High School, White Hart Lane, Scotch Estate, London Borough of Haringey, London, Greater London, England, N22 5QR, United Kingdom","(51.603495, -0.10091296536363757, 0.0)"
262,Belmont,Harrow,London,"Belmont,Harrow,London","Belmont, London Borough of Harrow, London, Greater London, England, HA3 8SA, United Kingdom","(51.601225, -0.3181008, 0.0)"
263,Canons,Harrow,London,"Canons,Harrow,London","Canons Park, Donnefield Avenue, Stanmore, London Borough of Harrow, London, Greater London, England, HA8 6QU, United Kingdom","(51.6080065, -0.2947453, 0.0)"
264,Edgware,Harrow,London,"Edgware,Harrow,London","Edgware and District Reform Synagogue, 118, Stonegrove, Stanmore, London Borough of Harrow, London, Greater London, England, HA8 8AB, United Kingdom","(51.6188193, -0.2886172396474118, 0.0)"
265,Greenhill,Harrow,London,"Greenhill,Harrow,London","Greenhill, London Borough of Harrow, London, Greater London, England, HA1 1LE, United Kingdom","(51.5840017, -0.3330006, 0.0)"
266,Harrow on the Hill,Harrow,London,"Harrow on the Hill,Harrow,London","Harrow-on-the-Hill, Station Approach, Harrow on the Hill, London Borough of Harrow, London, Greater London, England, HA1 3AN, United Kingdom","(51.5792702, -0.3366561, 0.0)"
267,Harrow Weald,Harrow,London,"Harrow Weald,Harrow,London","Harrow Weald, London Borough of Harrow, London, Greater London, England, HA3 6EL, United Kingdom","(51.6047861, -0.3404854, 0.0)"
268,Hatch End,Harrow,London,"Hatch End,Harrow,London","Hatch End, Station Approach, Hatch End, London Borough of Harrow, London, Greater London, England, HA5 4HU, United Kingdom","(51.6095781, -0.3687836, 0.0)"
269,Headstone North,Harrow,London,"Headstone North,Harrow,London","Headstone, Harrow Weald, London Borough of Harrow, London, Greater London, England, United Kingdom","(51.591883249999995, -0.35421665178460315, 0.0)"
270,Headstone South,Harrow,London,"Headstone South,Harrow,London","Headstone, Harrow Weald, London Borough of Harrow, London, Greater London, England, United Kingdom","(51.591883249999995, -0.35421665178460315, 0.0)"
271,Kenton East,Harrow,London,"Kenton East,Harrow,London","Kenton, Nash Court, London Borough of Brent, London, Greater London, England, United Kingdom","(51.581287, -0.31647316158869243, 0.0)"
272,Kenton West,Harrow,London,"Kenton West,Harrow,London","Kenton, Nash Court, London Borough of Brent, London, Greater London, England, United Kingdom","(51.581287, -0.31647316158869243, 0.0)"
273,Marlborough,Harrow,London,"Marlborough,Harrow,London","Marlborough Hill, Wealdstone, London Borough of Harrow, London, Greater London, England, HA1 2SL, United Kingdom","(51.5899659, -0.332507, 0.0)"
274,Pinner,Harrow,London,"Pinner,Harrow,London","Pinner, London Borough of Harrow, London, Greater London, England, HA5 3AW, United Kingdom","(51.5968712, -0.3770142, 0.0)"
275,Pinner South,Harrow,London,"Pinner South,Harrow,London","Pinner, London Borough of Harrow, London, Greater London, England, HA5 3AW, United Kingdom","(51.5968712, -0.3770142, 0.0)"
276,Queensbury,Harrow,London,"Queensbury,Harrow,London","Queensbury Circle, Honeypot Lane, Kenton, London Borough of Harrow, London, Greater London, England, HA7 1JJ, United Kingdom","(51.5962551, -0.2947263, 0.0)"
277,Rayners Lane,Harrow,London,"Rayners Lane,Harrow,London","Rayners Lane, London Borough of Harrow, London, Greater London, England, HA2 7HA, United Kingdom","(51.5767143, -0.3703002, 0.0)"
278,Roxbourne,Harrow,London,"Roxbourne,Harrow,London","St. Andrew’s Church, Roxbourne, 89, Malvern Avenue, Rayners Lane, London Borough of Harrow, London, Greater London, England, HA2 9ER, United Kingdom","(51.5654065, -0.3733966, 0.0)"
279,Roxeth,Harrow,London,"Roxeth,Harrow,London","Roxeth Recreation Ground, South Harrow, London Borough of Harrow, London, Greater London, England, United Kingdom","(51.560482199999996, -0.3500747050918491, 0.0)"
280,Stanmore Park,Harrow,London,"Stanmore Park,Harrow,London","Stanmore, London Road, Stanmore, London Borough of Harrow, London, Greater London, England, HA7 4PD, United Kingdom","(51.6188526, -0.3026271, 0.0)"
281,Wealdstone,Harrow,London,"Wealdstone,Harrow,London","Wealdstone, London Borough of Harrow, London, Greater London, England, HA3 7FG, United Kingdom","(51.5936353, -0.3294758, 0.0)"
